eng_Latn,mal_Mlym
"Then I called my cousin brother.
","പിന്നെ എന്റെ കൂട്ടുകാരിയുടെ വാപ്പായെ വിളിച്ചു.
"
"Man rapes minor he was to marry, kills her cousin: Police
","യുവാവിനെ കൊലപ്പെടുത്തി ഭാര്യയെ ബലാത്സംഗം ചെയ്‌തു; പ്രതികൾ ഭർത്താവിൻ്റെ സുഹൃത്തുക്കളെന്ന് പോലീസ്
"
"Police have filed a case against the girl's father and cousin and arrested them.
","യുവതിയുടെ സഹോദരനെതിരെയും അമ്മാവനെതിരെയും കേസെടുത്ത പൊലീസ് അമ്മാവനെ അറസ്റ്റ് ചെയ്തിട്ടുണ്ട്.
"
"Three people including the woman's father and her cousins have been arrested.
","ഭാര്യ ആതിയും സഹോദരനുമടക്കം മൂന്നു പേര്‍ പൊലീസ്‌ പിടിയിലായിട്ടുണ്ട്‌.
"
"Police have filed a case against the girl's father and cousin and arrested them.
","പത്താം ക്ലാസുകാരിയെ പീഡിപ്പിച്ച് ഗര്‍ഭിണിയാക്കിയ കേസില്‍ പെണ്‍കുട്ടിയുടെ അച്ഛനെയും അമ്മയെയും പൊലീസ് കസ്റ്റഡിയില്‍ എടുത്തു.
"
"Police have filed a case against the girl's father and cousin and arrested them.
","പെണ്‍കുട്ടിയുടെ അമ്മയുടെ പരാതിയില്‍ മുപ്പത്തെട്ടുകാരനായ യുവാവിനെയും ഇയാളുടെ സുഹൃത്തിനെയും പ്രതിയാക്കി പോലീസ് കേസെടുത്തു.
"
"Srinivas Rao did not harm his own son, who was playing with his cousins at the time.
","കസിന്‍സിനൊപ്പം കളിച്ചുകൊണ്ടിരുന്ന സ്വന്തം മകനെ ശ്രീനിവാസ് റാവു ഉപദ്രവിച്ചില്ല.
"
"Young man arrested for cousin’s murder
","ഭാര്യമാതാവിനെ മർദിച്ച യുവാവ് അറസ്​റ്റിൽ
"
"The deceased are cousins of his wife.
","കൊല്ലപ്പെട്ട രേഖ ഇവരുടെ ഭർത്താവിന്റെ സഹോദരിയാണ്.
"
"The girl's father and cousin have been arrested in a suspected case of honour killing.
","പെണ്‍കുട്ടിയെ ദുരഭിമാന കൊല നടത്തിയ കേസില്‍ പിതാവും സഹോദരനും പൊലീസ് കസ്റ്റഡിയില്‍.
"
"Anshul is the cousin of SP president Akhilesh Yadav and son of SP patriarch Mulayam Singh Yadav’s younger brother Rajpal Yadav.
","സമാജ് വാദി പ്രസിഡണ്ട് മുലായം സിങ് യാദവിന്റെ അനന്തരവനും രാജ്യസഭാ എംപി രാം ഗോപാല്‍ യാദവിന്റെ മകനുമാണ് അക്ഷയ് യാദവ്.
"
"The cousin looked surprised.
","മിത്രേട്ടനെ അത്ഭുതത്തോടെ നോക്കിപ്പോയി.
"
"At home, there were my mom, my brother, my sister, my uncles and one of my cousins.
","എന്റെ വീട്ടില്‍ ഞാനും അമ്മയും അനിയനും ചേച്ചിയും അനിയത്തിയുമാണുള്ളത്.
"
"‘Not aware,’ says Rahul Gandhi on speculation of cousin Varun joining Congress
","വരുണ്‍ഗാന്ധിയുടെ കോണ്‍ഗ്രസ്‌ പ്രവേശനത്തെകുറിച്ച്‌ അറിയില്ലെന്ന്‌ രാഹുല്‍ ഗാന്ധി
"
"All of these people are my cousins.
","എല്ലാവരും എനിക്ക സഹോദരി സഹോ ദരന്മാരാണ്.
"
"Shaju is the cousin brother of Roy Thomas, Jolly's first husband.
","കേസിലെ മുഖ്യപ്രതിയായ ജോളിയുടെ 'ആദ്യ ഭര്‍ത്താവ്‌ റോയ്‌ തോമസിന്റെ സഹോദരനാണ്‌ റോജോ.
"
"And he's my second cousin.
","ഇദ്ദേഹം എന്റെ രണ്ടാമത്തെ ചെറിയച്ഛന്‍.
"
"They also have cousins named Design and Research.
","ഇവർക്ക് ഡിസൈൻ, റിസർച്ച് എന്ന പേരിലുള്ള കസിൻസുമുണ്ട്.
"
"His grandparents, wife, children and cousins are in the house.
","അയാളുടെ വീട്ടിലും ഭാര്യയും മക്കളും അമ്മയും പെങ്ങളുമൊക്കെയില്ലേ.
"
"Parth Pawar, Ms Sule's cousin and former Maharashtra Deputy Chief Minister Ajit Pawar's son, will contest from Maval constituency.
","ശരദ് പവാറിന്റെ അനന്തരവനും മഹാരാഷ്ട്രാ മുൻ ഉപമുഖ്യമന്ത്രിയുമായ അജിത് പവാർ ഷിരൂരിൽ മത്സരിക്കുമെന്നാണ് സൂചന.
"
"Pratyusha Banerjee's cousin has claimed that Rahul Raj Singh is responsible for the death of the actress.
","പ്രത്യുഷ ബാനര്‍ജിയുടെ മരണത്തിന് കാരണം കാമുകനായ രാഹുല്‍ രാജ് സിംഗാണെന്ന് നടിയുടെ അമ്മ സോമ ബാനര്‍ജി ആരോപിച്ചു.
"
"grandfather. father. elder brother. younger brother. son. nephew. daughter. niece grandson. granddaughter. grandmother. aunt. cousin.
","പിതാവ്, മുത്തച്ഛൻ, പിതൃസഹോദരൻ, മുത്തച്ഛൻ, അമ്മ, മുത്തശ്ശി, അമ്മയുടെ മുത്തശ്ശി, അമ്മയുടെ അച്ഛൻ, അമ്മയുടെ മുത്തശ്ശി, രണ്ടാനമ്മ, ഭാര്യ, മകൻ, അമ്മയുടെ അമ്മാവൻ, സഹോദരൻ, അച്ഛന്റെ സഹോദരി, അമ്മയുടെ സഹോദരി, സഹോദരികൾ, ഭാര്യ പിതാവ്, മകൾ, ഗുരു, പിതൃ സഹോദരൻ, ശിഷ്യന്മാർ.
"
"Young man arrested for cousin’s murder
","വയോധികന്റെ മാല പൊട്ടിച്ചെടുത്ത കേസില്‍ യുവാവ്‌ അറസ്‌റ്റില്‍
"
"The mother of the girls had informed the police that her cousin had sexually abused the girl.
","കുട്ടിയെ അമ്മ മർദ്ദിക്കാറുണ്ടെന്ന് കുട്ടിയുടെ അച്ഛൻ്റെ അമ്മ പൊലീസിന് മൊഴി നല്‍കി.
"
"Suresh Babu, the elder brother of Aneesh who died during rescue mission, five cousins of Aneesh and Jayan who survived the disaster also were among the group.
","രക്ഷാപ്രവർത്തനത്തിനിടെ മരിച്ച അനീഷിന്റെ ജ്യേഷ്ഠൻ സുരേഷ് ബാബു, അനീഷിന്റെ പിതൃസഹോദരങ്ങളുടെ മക്കളായ അഞ്ചുപേർ, ദുരന്തത്തിൽനിന്ന് രക്ഷപ്പെട്ട ജയൻ തുടങ്ങിയവരും സംഘത്തിലുണ്ടായിരുന്നുവെന്നുള്ളതും കേരളത്തിൻ്റെ മനസ്സിന് തകർക്കുവാനാകില്ലന്നും എന്തു ദുരന്തമുണ്ടായാലും കേരള ജനത ഒറ്റക്കെട്ടാണെന്നും പറയാതെ പറയുകയായിരുന്നു അവർ.
"
"Wife, cousin arrested for murdering man
","യുവതിയുടെ കൊലപാതകം ഭർത്താവും സുഹൃത്തുക്കളും അറസ്റ്റിൽ
"
"Previously, Udyanraje’s cousin, Shivendraraje Bhosale, who was also with the NCP, had quit the party and joined the BJP.
","നേരത്തെ അദ്ദേഹത്തിന്റെ സഹോദരനും സതാര എംഎൽഎയുമായ ശിവേന്ദ്രസിംഗ് രാജെ ഭോസാലെ എൻസിപിയിൽ നിന്നും രാജിവെച്ച് ബിജെപിയിൽ ചേർന്നിരുന്നു.
"
"two sisters and cousin drown
","ഇരട്ട സഹോദരിമാർ മുങ്ങി മരിച്ചു
"
"In death she is not merely a Bengali woman, not merely someone’s cousin, or the deceived wife of some obscure mad husband.
","അവളിപ്പോൾ വെറുമൊരു ബംഗാളിപ്പെണ്ണല്ല, ആരുടെയെങ്കിലും സഹോദരപുത്രി മാത്രമല്ല, ഭ്രാന്തനായ ഒരപരിചിതന്റെ ചതിക്കപ്പെട്ട ഭാര്യ മാത്രവുമല്ല.
"
"And her neighbours and her cousins heard how YHWH had shewed great mercy upon her; and they rejoiced with her.
","കര്‍ത്താവു അവള്‍ക്കു വലിയ കരുണ കാണിച്ചു എന്നു അയല്‍ക്കാരും ചാര്‍ച്ചക്കാരും കേട്ടിട്ടു അവളോടുകൂടെ സന്തോഷിച്ചു.
"
"“My father and his father were first cousins.
","‘‘തന്റെ അച്ഛനും ജ്യേഷ്ഠന്മാരും ചെത്തുതൊഴിലാളികളായിരുന്നു.
"
"His grandparents, wife, children and cousins are in the house.
","അവിടെ അമ്മയും അനിയത്തിയും അനുജന്‍റെ ഭാര്യയും കുട്ടികളുമുണ്ട്.
"
"Chandigarh: The Punjab and Haryana High Court has ordered that marriage between first cousins is unlawful.
","ചണ്ഡിഗഡ്: സഹോദരങ്ങളുടെ മക്കള്‍ തമ്മില്‍ വിവാഹിതരാകുന്നത് നിയമവിരുദ്ധമാണെന്ന് പഞ്ചാബ് – ഹരിയാന ഹൈക്കോടതി.
"
"He had asked his cousin Singh and his family to vote for the BJP.
","രാജയോടും കുടുംബത്തോടും ബിജെപി സ്ഥാനാർത്ഥിക്ക് വോട്ട് ചെയ്യണമെന്ന് ധർമേന്ദർ ആവശ്യപ്പെട്ടിരുന്നു.
"
"He grew up in a joint family of 10 members, including his grandparents, uncles, cousins, parents and siblings.
","മുത്തശ്ശിയും, അമ്മാവന്മാരും, അപ്പൂപ്പനും അടക്കം 10 അംഗങ്ങളുള്ള ഒരു കൂട്ടുകൂടുംബത്തിലാണ് അവൻ വളർന്നത്.
"
"Young man arrested for cousin’s murder
","ഭാര്യപിതാവിനെ വാഹനമിടിച്ച് കൊലപ്പെടുത്തിയെന്ന കേസിൽ യുവാവ് അറസ്റ്റിൽ
"
"Wife, cousin arrested for murdering man
","ഭാര്യയെ കൊലചെയ്ത കേസിൽ ഭർത്താവും കാമുകിയും അറസ്റ്റിൽ
"
"Among Victoria’s favorite grandchildren was Alexandra Feodorovna, who went on to marry her cousin Nicholas II, the czar of Russia.
","ചക്രവർത്തിനി അലക്‌സാൻഡ്ര ഫിയോദോറോവ്ന റഷ്യൻ ചക്രവർത്തിയായിരുന്ന സാർ നിക്കോളാസ് രണ്ടാമന്റെ പത്നിയായിരുന്നു.
"
"“I am your cousin.
","""""ഞാനാണ് നിന്റെ ഉടയവൻ.
"
"Police said the accused was the cousin of the woman’s brother-in-law.
","പെണ്‍കുട്ടിയുടെ സഹോദരിയുടെ സഹപ്രവര്‍ത്തകനായിരുന്നു പ്രതിയെന്നും പോലീസ് പറഞ്ഞു.
"
"Varun Gandhi, cousin of Rahul Gandhi, is at present a Bharatiya Janata Party Lok Sabha member from Sultanpur in Uttar Pradesh.
","നിലവിൽ ഉത്തർപ്രദേശിലെ സുല്‍ത്താന്‍പുരില്‍ നിന്നുള്ള ബിജെപിയുടെ ലോക്‌സഭാ എംപിയാണ് വരുണ്‍ ഗാന്ധി.
"
"Suhana Khan shared a new photo with brother Aryan Khan and their cousin, Alia Chhiba.
","ഇരുവരും അവരുടെ കസിന്‍സ് ആയ ആലിയ ചിബയും അര്‍ജുന്‍ ചിബയുമൊത്തുള്ള ബാല്യകാല ഫോട്ടോയാണ് സുഹാന പങ്കുവച്ചത്.
"
"And my aunt and my cousins.
","ഒപ്പം എന്റെ വാപ്പയ്ക്കും ഉമ്മയ്ക്കും.
"
"And her neighbors and her cousins heard how the Lord [God] had showed great mercy upon her; and they rejoiced with her.
","കര്‍ത്താവു അവള്‍ക്കു വലിയ കരുണ കാണിച്ചു എന്നു അയല്‍ക്കാരും ചാര്‍ച്ചക്കാരും കേട്ടിട്ടു അവളോടുകൂടെ സന്തോഷിച്ചു.
"
"Bollywood actress Kiara Advani and Armaan's cousin Karisma Kapoor also attended the grand event.
","കരീനയുടെ സഹോദരിയും, പ്രശസ്‌ത ബോളിവുഡ്‌ നടിയുമായ കരിഷ്‌മ കപൂറും വിവാഹ രജിസ്‌ട്രേഷന്‍ സമയത്ത്‌ ഇരുവര്‍ക്കും ഒപ്പം ഉണ്ടായിരുന്നു.
"
"Her cousins are Hitarth Bhat and Emraan Hashmi.
","ആയിശത്ത് ഷമീമ, ഷറീന ഫാത്വിമ എന്നിവര്‍ സഹോദരിമാരാണ്.
"
"Police have filed a case against the girl's father and cousin and arrested them.
","ഹൈസ്കൂള്‍ വിദ്യാര്‍ത്ഥിനിയായ പെണ്‍കുട്ടിയെ പീഡിപ്പിച്ച കേസുമായി ബന്ധപ്പെട്ട് കുട്ടിയുടെ പിതാവ്, അമ്മാവന്‍ എന്നിവരെ പൊലീസ് അറസ്റ്റ് ചെയ്തു.
"
"My cousins and I live in a joint family.
","ഞാനും ചേച്ചിയും കൂട്ടുകുടുംബങ്ങളിൽ കഴിയുന്നവരാണ്.
"
"Hazari, a cousin of Ram Vilas Paswan had defeated the LJP chief’s nephew Prince Raj from Kalyanpur assembly seat.
","എല്‍ജെുപി തലവന്‍ രാംവിലാസ് പാസ്വാന്റെ മരുമകന്‍ പ്രിന്‍സ് രാജാണ് ലോക്സഭ ഉപതിര‍ഞ്ഞെടുപ്പില്‍ സമസ്തിപൂരില്‍ നിന്ന് വിജയിച്ചത്.
"
"The Changanassery police arrested the father and cousin under POCSO Act.
","പോക്സോ നിയമപ്രകാരമാണ് ചങ്ങനാശ്ശേരി പോലീസ് അച്ഛനെയും അമ്മാവന്റെ മകനെയും അറസ്റ്റ് ചെയ്തിരിക്കുന്നത്.
"
"He got his basic classical music training from his father and later studied music under his cousin, Ustad Nissar Hussain Khan.
","പിതാവില്‍ നിന്ന് ക്ലാസിക്കല്‍ സംഗീത പരിശീലനം നേടിയ അദ്ദേഹം പിന്നീട് കസിന്‍ ഉസ്താദ് നിസാര്‍ ഹുസയ്ന്‍ ഖാനു കീഴില്‍ സംഗീതം പഠിച്ചു.
"
"Wife, cousin arrested for murdering man
","വീട്ടമ്മയെ വെട്ടിപ്പരിക്കേൽപിച്ച സംഭവത്തിൽ സഹോദരി ഭർത്താവ് പിടിയിൽ
"
"Amy is my Mom's cousin.
","ആമിന എന്‍റെ ഭര്‍ത്താവിന്‍റെ ഉമ്മയുടെ ജേഷ്ടത്തിയാണ്.
"
"15-year-old girl raped by cousin, impregnated
","സഹോദരിയെ ബലാത്സംഗം ചെയ്ത 15 വയസുകാരന്‍ പിടിയില്‍
"
"Both are cousin brothers.
","ഇരട്ടപെറ്റ സഹോദരങ്ങളാണല്ലൊ രണ്ടും.
"
"The police have arrested the accused and the girl's cousin brother.
","സംഭവത്തില്‍ പെണ്‍കുട്ടിയുടെ സഹോദരനും പിതാവിന്റെ ആദ്യഭാര്യയും അടക്കമുള്ളവരെ പൊലീസ് അറസ്റ്റ് ചെയ്തു.
"
"The mother of the girls had informed the police that her cousin had sexually abused the girl.
","പെണ്‍കുട്ടി ലൈംഗിക പീഡനത്തിന് ഇരയായതായി പോലീസിനോട് അന്ന് പറഞ്ഞിരുന്നതായി കുട്ടിയുടെ അമ്മ കഴിഞ്ഞ ദിവസം വെളിപ്പെടുത്തിയിരുന്നു.
"
"Two people including her cousin have been arrested.
","സഹോദരനുള്‍പെടെ രണ്ടു പേര്‍ അറസ്റ്റിലായിട്ടുണ്ട്.
"
"Because they are cousins.
","കാരണം അവര് ചുണക്കുട്ടികൾ ആണ്.
"
"NCP chief Sharad Pawar, senior Congress leaders Ahmed Patel and Mallikarjun Kharge, Madhya Pradesh Chief Minister Kamal Nath, Devendra Fadnavis, Ajit Pawar and his cousin and MP Supriya Sule, DMK leader MK Stalin attended the mega event.
","കെ സ്റ്റാലിന്‍, മധ്യപ്രദേശ് മുഖ്യമന്ത്രി കമല്‍നാഥ്, കോണ്‍ഗ്രസ് നേതാക്കളായ കപില്‍ സിബല്‍, അഹമ്മദ് പട്ടേല്‍, അഭിഷേക് മനു സിങ്‌വി, മല്ലികാര്‍ജ്ജുന്‍ ഖാര്‍ഗെ, എം. എന്‍. എസ് നേതാവ് രാജ്താക്കറെ, മുന്‍ മുഖ്യമന്ത്രി ദേവേന്ദ്ര ഫഡ്‌നാവിസ്, റിലയന്‍സ് മേധാവി മുകേഷ് അംബാനി, ഭാര്യ നിതാ അംബാനി ഉള്‍പ്പെടെയുള്ളവര്‍ ചടങ്ങില്‍ പങ്കെടുത്തു.
"
"The vast majority of those are to cousins.
","സത്രീകളാണ് ഇതില്‍ ഭൂരിപക്ഷം.
"
"He’s my cousin.
","അവൻ എൻ്റെ കൊച്ചനിയനാണ്
"
"Police have filed a case against the girl's father and cousin and arrested them.
","യുവതിയുടെ മാതാപിതാക്കളുടെ പരാതിയില്‍ യുവാവിനും കൂട്ടുകാര്‍ക്കുമെതിരേ പോലീസ് കേസെടുത്തു.
"
"A 16-year-old girl was allegedly sexually assaulted and impregnated by her cousin.
","16 വയസ്സുള്ള പെൺകുട്ടിയെ പ്രതി സമ്മർദത്തിലാക്കി ബലാത്സംഗം ചെയ്‌തു.
"
"The girl's cousin lodged a police complaint alleging that his sister has been murdered.
","യുവതിയുടെ സഹോദരിയാണ് പീഡനം നടന്നതായി പോലീസിൽ പരാതി നൽകിയത്.
"
"A cousin of my father was one of them.
","അതിലൊരാള്‍ എന്റെ അമ്മയുടെ അപ്പന്റെ വകയില്‍ ഒരനുജനായിരുന്ന ഓനി കൊച്ചാപ്പനായിരുന്നു.
"
"A brother, sister, or cousin; daughter and mother, father and son; grand parents and grand children.
","മകനായും മകളായും, സഹോദരനായും സഹോദരിയായും, പേരക്കുഞ്ഞായും, ഭർത്താവായും ഭാര്യയായും, അച്ഛനായും അമ്മയായും, മുത്തച്ഛനായും, അമ്മൂമ്മയായും, സുഹൃത്തുക്കളായും, അമ്മായി അച്ഛനും അമ്മായി അമ്മയായും, മരുമകനായും മരുമകളായും തുടങ്ങി സ്വന്തബന്ധങ്ങളുടെ നീണ്ട നിര.
"
"Another family member clarified that Iqbal and Riyaz were Yasin's cousins and not real brothers.
","ഇഖ്ബാലും റിയാസും യാസിന്റെ മച്ചുനന്മാരാണെന്നും നേരെ സഹോദരന്മാരല്ലെന്നും മറ്റൊരു കുടുംബാംഗം പറഞ്ഞു.
"
"Her husband is my wife’s cousin.
","ഭര്‍ത്താവിന്‍റെ അച്ഛന്‍റെ അനിയന്‍റെ ഭാര്യയാണ്.
"
"Man arrested for killing 17-year-old son who tried to rape cousin
","ബലാല്‍സംഗശ്രമം തടഞ്ഞ യുവാവിനെ 17കാരനും സംഘവും വെട്ടിക്കൊന്നു
"
"According to police, the girl is friends with the cousin’s wife.
","ഇയാള്‍ പെണ്‍കുട്ടിയുടെ അമ്മയുടെ കാമുകനാണെന്നാണ് പൊലീസ് നല്‍കുന്ന വിവരം.
"
"Chennai: 20-year-old lady was arrested for allegedly murdering her five-year-old cousin, by physical torture.
","ചെന്നൈ: കത്തിമുനയിൽ നിർത്തി 20 വയസുകാരിയെ നാലംഗസംഘം കൂട്ട ബലാൽസംഗം ചെയ്തു.
"
"Shaju is the cousin brother of Roy Thomas, Jolly's first husband.
","ജോളിയുടെ ആദ്യ ഭർത്താവ് മരിച്ച റോയിയുടെ സഹോദരനാണ് റോജോ.
"
"The three suspects in the case included the girl’s uncle and two cousins.
","പെൺകുട്ടിയുടെ സഹോദരനും സുഹൃത്തുക്കളായ മൂന്നുപേരുമായിരുന്നു ഈ കേസിൽ പ്രതിപട്ടികയിൽ ഉണ്ടായിരുന്നത്.
"
"Bollywood actress Ananya Pandey's first cousin Alanna Pandey is setting the internet on fire with her pictures.
","സോഷ്യല്‍ മീഡിയയില്‍ വെെറലായി ബോളിവുഡ് താരം അനന്യ പാണ്ഡെയുടെ പുതിയ ചിത്രങ്ങള്‍.
"
"Four people, including the girl’s father and a cousin, have been arrested in connection with the crime.
","പെണ്‍കുട്ടിയുടെ പിതാവും സമീപവാസികളും ഉള്‍പ്പെടെ നാലുപേര്‍ അറസ്റ്റിലായി.
"
"And her neighbours and her cousins heard tell how the Lord had showed great mercy upon her, and they rejoiced with her.
","കര്‍ത്താവു അവള്‍ക്കു വലിയ കരുണ കാണിച്ചു എന്നു അയല്‍ക്കാരും ചാര്‍ച്ചക്കാരും കേട്ടിട്ടു അവളോടുകൂടെ സന്തോഷിച്ചു.
"
"Aren’t they our cousins too?
","ഇവരും നമ്മുടെ സഹോദരങ്ങള്‍ തന്നെയല്ലേ?
"
"Varun Gandhi, cousin of Rahul Gandhi, is at present a Bharatiya Janata Party Lok Sabha member from Sultanpur in Uttar Pradesh.
","നിലവില്‍ യുപിയിലെ സുല്‍ത്താന്‍പുരില്‍ നിന്നുള്ള ബിജെപിയുടെ ലോക്‌സഭാ എംപിയാണ് വരുണ്‍ ഗാന്ധി.
"
"Young man arrested for cousin’s murder
","പ്രായപൂർത്തിയാകാത്ത സഹോദരനെ ആക്രമിച്ച കേസിൽ യുവാവ് അറസ്റ്റിൽ
"
"All of my family - my husband and children, my mother and father, my brother and sister-in-law, grandparents, aunts, uncles, cousins, nephews, all of them.
","അപ്പൂപ്പനും അമ്മൂമ്മയും അച്ഛനും അമ്മയും മക്കളും മരുമക്കളും കൊച്ചുമക്കളും സഹോദരങ്ങളും ഒക്കെയായി വീടു മുഴുവൻ ആളുകൾ.
"
"There has been a dispute between the two cousins over family property.
","കുടുംബ സ്വത്ത് ഭാഗം വയ്ക്കുന്നതു സംബന്ധിച്ച ഭിന്നതയില്‍ ഇരുവരും തമ്മില്‍ തര്‍ക്കത്തിലെത്തുകയായിരുന്നു.
"
"Married woman killed by cousin after failed rape attempt in UP, accused arrested
","ഭ‍‍ര്‍ത്താവിന്റെ ക്രൂരമ‍ര്‍ദ്ദനം, യുപിയില്‍ സ്ത്രീ അതിദാരുണമായി കൊല്ലപ്പെട്ടു, പ്രതികള്‍ ഒളിവില്‍
"
"Neither Balasaheb Thackeray nor Uddhav Thackeray nor cousin Raj Thackeray ever fought an election.
","ശിവസേനയുടെ അമരത്തിരുന്ന ബാല്‍താക്കറെയോ, ഉദ്ധവ് താക്കറെയോ, രാജ് താക്കറെയോ ഇതുവരെ ഒറ്റ തിരഞ്ഞെടുപ്പിലും മത്സരിച്ചിട്ടില്ല.
"
"They’re cousins.
","അവർ മരുമക്കത്തായികളാണ്.
"
"Ritika Phogat, a cousin of champion wrestlers Geeta and Babita Phogat, died by suicide.
","ഗുസ്തി താരങ്ങളായ ഗീത ഫൊഗാട്ട്, ബബിത ഫൊഗാട്ട് എന്നിവരുടെ സഹോദരിയും ഗുസ്തി താരവുമായ റിതിക ഫൊഗാട്ട് മരിച്ച നിലയിൽ.
"
"The tragic news of her demise was shared by her cousin sister Soumya Amish Verma on Facebook.
","അന്തരിച്ച നടിയുടെ കസിന്‍ സൗമ്യ അമിഷ് വര്‍മ്മയാണ് ഫേസ്ബുക്കിലൂടെ മരണ വാര്‍ത്ത ആരാധകരുമായി പങ്കുവെച്ചത്.
"
"The cousins often share old pictures of themselves on social media.
","സഹോദരങ്ങൾക്കൊപ്പമുള്ള പഴയകാല ചിത്രങ്ങൾ ഫർഹാൻ ഇടയ്ക്കിടെ സോഷ്യൽ മീഡിയയിൽ പങ്കുവയ്ക്കാറുണ്ട്.
"
"Solanki’s cousin Shiva Solanki, Shailesh Pandya, Bahadursinh Vadher, Panchan Desai, Sanjay Chauhan and Udaji Thakore were the other convicts.
","ശിവ സോളങ്കി, ശൈലേഷ് പാണ്ഡ്യ, ബഹാദൂര്‍ സിന്‍ഹ് വദെര്‍, പാഞ്ചന്‍ ജി ദേശായി, സജ്ഞയ് ചൗഹാന്‍, ഉദാജി താക്കറെ എന്നിവരായിരുന്നു പ്രതികള്‍.
"
"At sixteen He married His cousin named Yasodhara.
","പതിനാറാമത്തെ വയസ്സിൽ അദ്ദേഹം തന്റെ ദായാദിജയായ യശോദരയെ വിവാഹം ചെയ്തു.
"
"Pankaja Munde was defeated by her cousin Dhanajay Munde during the last Assembly elections.
","കഴിഞ്ഞ തിരഞ്ഞെടുപ്പില്‍ എന്‍. സി. പിയുടെ ധനഞ്ജയ് മുണ്ഡെയോട് പങ്കജ മുണ്ഡെ തോറ്റിരുന്നു.
"
"Raja is the boy’s cousin.
","രാജേഷാണ് രാധയുടെ മകന്‍.
"
"Suresh is my cousin.
","സുരേഷ് മരുമകനാണ്.
"
"And I went to my cousins house.
","ഞാൻ ആ ചേട്ടന്മാരുടെ വീട്ടിലേക്ക് പോയി.
"
"A Delhi-based lawyer, Gautam Khaitan and SP Tyagi’s cousin Sanjeev Tyagi alias Julie Tyagi was also arrested along with him.
","ത്യാഗിക്കു പുറമെ, ഡല്‍ഹി കേന്ദ്രമായി പ്രവര്‍ത്തിക്കുന്ന അഭിഭാഷകന്‍ ഗൗതം ഖൈത്താന്‍, ത്യാഗിയുടെ അനന്തിരവന്‍ സഞ്ജീവ് ത്യാഗി എന്ന ജൂലി ത്യാഗി എന്നിവരാണ് അറസ്റ്റിലായത്.
"
"But he had been only a cousin.
","പക്ഷേ അദ്ദേഹം വെറും മാറ്റൊലിക്കവിയായിരുന്നു.
"
"And her neighbours and her cousins (relatives) heard how the Lord had showed great mercy upon her, and they rejoiced with her.
","കര്‍ത്താവു അവള്‍ക്കു വലിയ കരുണ കാണിച്ചു എന്നു അയല്‍ക്കാരും ചാര്‍ച്ചക്കാരും കേട്ടിട്ടു അവളോടുകൂടെ സന്തോഷിച്ചു.
"
"He was my cousin Sameer Arya's neighbour and a close buddy.
","എന്‍റെയൊരു സഹോദരൻ സമീർ ആര്യയുടെ ഉറ്റ സുഹൃത്തും അയൽവാസിയുമായിരുന്നു അജയ്.
"
"An amazing father, brother, son, friend, cousin, and husband!
","ഒരു നിസഹായനായ, ഹൃദയം തകർന്ന പിതാവ്, ഭർത്താവ്, സഹോദരൻ, മകൻ, സുഹൃത്ത്.
"
"Along with Tyagi, his cousin Sanjiv alias Julie Tyagi and lawyer Gautam Khaitan were also arrested.
","ത്യാഗിയുടെ സഹോദരന്‍ ജൂലി ത്യാഗിയും അഭിഭാഷകനായ ഗൗതം ഖൈതാനും അറസ്റ്റിലായിരുന്നു.
"
"But my cousin did not appreciate it.
","പക്ഷേ എന്റെ മാപ്പപേക്ഷ ചിന്നമ്മിണിക്കുട്ടി കാര്യമായെടുത്തില്ല.
"
"The mother of the girls had informed the police that her cousin had sexually abused the girl.
","കുട്ടിയുടെ ‘അമ്മ പോലീസിനോട് പറഞ്ഞു എന്റെ കുഞ്ഞിനെ ലൈംഗിക ചൂഷണത്തിന് ഇരയായിട്ടുണ്ടെന്ന്.
"
"College authorities have also taken action against the cousin who was with them.
","ഇവർക്കൊപ്പമുണ്ടായിരുന്ന കസിനെതിരെയും കോളേജ് അധികൃതർ നടപടി സ്വീകരിച്ചിട്ടുണ്ട്.
"
"Malik Abbas, an activist, told News 18 that when Asgar and his cousin Javeed arrived for the meeting, they were pounced upon by dozens of cow vigilantes and thrashed.
","അസ്ഗറും കസിൻ ജാവീദും യോഗത്തിന് എത്തിയപ്പോൾ ഗോരക്ഷാ പ്രവർത്തകർ അവരെ തല്ലിച്ചതക്കുകയായിരുന്നെന്ന് ഗുജ്ജാർ ആക്ടിവിസ്റ്റായ മാലിക് അബ്ബാസ് പറഞ്ഞതായി ന്യൂസ് 18യാണ് റിപ്പോർട്ട് ചെയ്തത്.
"
"A heart-melting note about Captain Deepak V Sathe, the pilot of the ill fated Air India Express flight which crashed at the Karipur Airport in Kozhikode was shared by his cousin on the social media.
","കോഴിക്കോട് കരിപ്പൂര്‍ വിമാന താവളത്തില്‍ നടന്ന അപകടത്തില്‍പ്പെട്ട എയര്‍ ഇന്ത്യ എക്‌സ്പ്രസ് വിമാനത്തിന്റെ പൈലറ്റ് ക്യാപ്റ്റന്‍ ഡി വി സാഠേ മരിച്ചതായി സ്ഥിരീകരണം.
"
"“This is my cousin.
","“എന്റെ പൊന്നു ശശിച്ചേട്ടാ.
"
"A young man assassinate his cousin
","യുവാവ് സഹോദരനെ അമ്മിക്കല്ല് കൊണ്ട് തലക്കടിച്ച്‌ കൊന്നു
"
