eng_Latn,kan_Knda
"She is a mother of three and grandmother to four.
","ಅಲ್ಲವರು ಮೂರು ಮಕ್ಕಳ ತಾಯಿ, ನಾಲ್ಕನೇ ಮಗುವಿನ ಗರ್ಭಿಣಿ.
"
"Both my mother and my grandmother were teachers.
","‘ನನ್ನ ತಂದೆ ಹಾಗೂ ತಾಯಿ ಇಬ್ಬರೂ ಶಿಕ್ಷಕರು.
"
"""They're a father, they're a mother, they're a grandmother.
","""ಅಪ್ಪಾ, ಅಮ್ಮಾ, ಇಬ್ಬರೂ ಅಣ್ಣಂದರು, ಅತ್ತಿಗೆಂದರು ಮತ್ತ ಅವರ ಮಕ್ಕಳು.
"
"Terming the Emergency imposed by his grandmother and former Prime Minister Indira Gandhi as ""wrong"", Rahul Gandhi said what is happening in India currently was ""fundamentally different"" from the Emergency.
","ನವದೆಹಲಿ: ಮಾಜಿ ಪ್ರಧಾನಿ ಇಂದಿರಾ ಗಾಂಧಿ ಅವರು ವಿಧಿಸಿರುವ ತುರ್ತು ಪರಿಸ್ಥಿತಿ ತಪ್ಪು ಎಂದು ಕಾಂಗ್ರೆಸ್ ಮುಖಂಡ ರಾಹುಲ್ ಗಾಂಧಿ ಹೇಳಿದ್ದಾರೆ, ಆ ಅವಧಿಯಲ್ಲಿ ಏನಾಯಿತು ಎಂಬುದು ತಪ್ಪು ಎಂದು ಸೇರಿಸಿದ್ದಾರೆ, ಆದರೆ ಇದು ಪ್ರಸ್ತುತ ಸನ್ನಿವೇಶಕ್ಕಿಂತ ಮೂಲಭೂತವಾಗಿ ಭಿನ್ನವಾಗಿದೆ ದೇಶದ ಸಾಂಸ್ಥಿಕ ಚೌಕಟ್ಟನ್ನು ನಿಯಂತ್ರಣದಲ್ಲಿಡಲು ಪ್ರಯತ್ನಿಸಿದೆ ಎಂದು ಹೇಳಿದ್ದಾರೆ.
"
"He was raised at his grandmother's house.
","ಸೋದರ ಮಾವನ ಮನೆಯಲ್ಲಿಯೇ ಬೆಳೆದಿದ್ದಳು.
"
"Komalavalli was the name given to Late Jayalalithaa at birth after her grandmother.
","ಜಯಲಲಿತಾಗೆ ತಾಯಿ ಇಟ್ಟ ಹೆಸರು ಕೋಮಲವಲ್ಲಿ.
"
"Her mother and grandmother were inside the house.
","ಮನೆ ಯಲ್ಲಿ ತಾಯಿ ಮತ್ತು ಅಣ್ಣ ಇಬ್ಬರೂ ಇದ್ದ ರು.
"
"As was her mother, and her grandmother before that.
","ಅವಳ ಅವ್ವ, ಅಜ್ಜವ್ವನೂ ಇದೇ ಮಾಡಿದವರಂತೆ.
"
"But only her mother and grandmother were concerned about her.
","ಆದ್ರೆ ಅಮ್ಮ ಮತ್ತು ಅಕ್ಕ ಮಾತ್ರ ತುಂಬಾ ಹಿಂದೇಟು ಹಾಕಿದ್ರು.
"
"It’s a 76-year-old grandmother.
","ಅದನ್ನು 76 ವರ್ಷದ ಈ ಅಜ್ಜನೋರ್ವ ನಿಜ ಮಾಡಿ ತೋರಿಸುತ್ತಿದ್ದಾರೆ.
"
"The father, the mother, and the grandmother of the two children were present.
","ಅಜ್ಜನ ಮನೆಯಲ್ಲಿ ಮಾವ, ಅತ್ತೆ, ಅವರಿಗೆ ಇಬ್ಬರು ಮಕ್ಕಳಿದ್ದರು.
"
"After his parents divorced, he lived mostly with his paternal grandmother.
","ಅವರ ಪೋಷಕರು ವಿಚ್ಛೇದನ ನಂತರ, ತನ್ನ ತಾಯಿಯೊಂದಿಗೆ ವಾಸಿಸುತ್ತಿದ್ದರು.
"
"After my parents separated, my mother and I lived with my grandmother.
","ಅವರ ಪೋಷಕರು ವಿಚ್ಛೇದನ ನಂತರ, ತನ್ನ ತಾಯಿಯೊಂದಿಗೆ ವಾಸಿಸುತ್ತಿದ್ದರು.
"
"Her other family members including her grandmother and parents have also been admitted.
","ಅವರ ಜೊತೆ ಅಣ್ಣ, ತಾಯಿ ಹಾಗೂ ಇತರ ಕುಟುಂಬದ ಸದಸ್ಯರು ಕೂಡ ಇದ್ದಾರೆ.
"
"But he wasn’t staying with his grandmother.
","ಆದರೆ ಅವನು ತನ್ನ ತಂದೆಯ ನೆರಳಿನಲ್ಲಿ ಉಳಿಯಲಿಲ್ಲ.
"
"I’m a grandmother,"" she said.
","ನಾನೇ ಮಂಜಿನ ತಾಯಿ” ಎಂದಳು.
"
"Her grandfather, says she, was a Muslim and grandmother a Hindu.
","ತನ್ನ ತಂದೆ ದಲಿತ ಮತ್ತು ತಾಯಿ ಮುಸ್ಲಿಂ ಎಂದು ಅವರು ಹೇಳಿದ್ದಾರೆ.
"
"The Congress leader has finalised a home in Lucknow - it is the house that belonged to Congress leader Shiela Kaul, the aunt of former Prime Minister Indira Gandhi, Priyanka Gandhi's grandmother.
","ಲಖನೌನಲ್ಲಿ ಮಾಜಿ ಪ್ರಧಾನಿ ಇಂದಿರಾ ಗಾಂಧಿ ಅವರ ಚಿಕ್ಕಮ್ಮ ಶೀಲಾ ಕೌಲ್‌ ಅವರಿಗೆ ಸೇರಿದ 'ಕೌಲ್‌ ಹೌಸ್‌ ' ಬಂಗಲೆ ಇದೆ.
"
"Rahul Gandhi as he pays tribute to the former Prime Minister and his grandmother Mrs. Indira Gandhi.
","ರಾಹುಲ್‌ ಗಾಂಧಿ ಭೇಟಿ ಮಾಜಿ ಪ್ರಧಾನಿ ಇಂದಿರಾಗಾಂಧಿ ಅವರನ್ನು ನೆನಪಿಸಿದೆ.
"
"Dias' parents live on the first floor of their one-storey house with other family members while his grandmother stayed on the ground floor of the same building.
","ಡಯಾಸ್‍ನ ಪೋಷಕರು ಮನೆಯ ಮೊದಲ ಮಹಡಿಯಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದರೆ, ಕುಟುಂಬದ ಇತರ ಸದಸ್ಯರು ನೆಲ ಮಹಡಿಯಲ್ಲಿದ್ದರು.
"
"And I did tell my grandmother that.
","ನಾನು ಹಾಗೆಯೇ ದೊಡ್ಡಮ್ಮನಿಗೆ ತಿಳಿಸಿದ್ದೆ.
"
"But grandmothers are different.
","ಆದರೆ ಅನಿತಾಳ ವರಸೆಯೇ ಬೇರೆ.
"
"He lives with his grandmother and elder brother.
","ಅಣ್ಣ ಮತ್ತು ಅತ್ತಿಗೆಯೊಂದಿಗೆ ದೊಡ್ಡಕಮ್ಮನಹಳ್ಳಿಯಲ್ಲಿ ವಾಸವಾಗಿದ್ದಾರೆ.
"
"His paternal grandmother and two aunts had died of cancer.
","ಅವರ ಅಪ್ಪ-ಅಮ್ಮ ಇಬ್ಬರು ಕ್ಯಾನ್ಸರಿನಿಂದಾಗಿ ಮೃತಪಟ್ಟಿದ್ದರು.
"
"After returning home, the girl narrated the incident to her grandmother, who told her parents about it.
","ಮನೆಗೆ ಹಿಂದಿರುಗಿದ ನಂತರ ಹುಡುಗಿ ತನ್ನ ಹೆತ್ತವರಿಗೆ ಘಟನೆ ವಿವರಿಸಿದಳು.
"
"Buried next to him are also his parents and grandmother.
","ಇದರ ಪಕ್ಕಗಳಲ್ಲಿ ಅವನ ತಾಯಿ ಮತ್ತು ತಂಗಿಯ ಗೋರಿಗಳೂ ಇವೆ.
"
"A large, frantic family accompanied the children: grandmother, grandfather, aunts and uncles.
","ಅವರು ಒಂದು ದೊಡ್ಡ ಕುಟುಂಬ ಹೊಂದಿತ್ತು: ಪ್ರೀತಿಯ ಪೋಷಕರು, ತಂಗಿ ಮತ್ತು ಸಹೋದರ.
"
"Once everybody including father-mother, uncle-aunt, grandfather, grandmother, and cousins used to live jointly.
","ಮೊದಲು ಅವಿಭಕ್ತ ಕುಟುಂಬಗಳಲ್ಲಿ ಅಣ್ಣ–ತಮ್ಮ, ದೊಡ್ಡಪ್ಪ- ಚಿಕ್ಕಪ್ಪ, ಅಕ್ಕ–ತಮ್ಮ, ಅಣ್ಣ–ತಂಗಿ ಎಲ್ಲರೂ ಒಟ್ಟಿಗೆ ಬಾಳುತ್ತಿದ್ದೆವು.
"
"First of all, our grandmothers care about health and attention from children, grandchildren and great-grandchildren!
","ನಮ್ಮ grandmothers ಮೊದಲ ಸ್ಥಾನದಲ್ಲಿ ಆರೋಗ್ಯ ಮತ್ತು ಗಮನ ಮಕ್ಕಳು, ಮೊಮ್ಮಕ್ಕಳು ಮತ್ತು ದೊಡ್ಡ ಮೊಮ್ಮಕ್ಕಳು ನಲ್ಲಿ ಚಿಂತಿಸತೊಡಗಿದರು!
"
"The son’s daughter after her, the daughter, the wife, the grandmother and the sister.
","ನಾರಿ, ಮಗಳು, ಅಕ್ಕ, ತಂಗಿ, ಹೆಂಡತಿಯಾಗಿಯೂ ಪುರುಷರ ಬೆನ್ನೆಲುಬಾಗಿದ್ದಾಳೆ.
"
"” The grandmother cocked her head.
","'' ಬಾಳಿಯಮ್ಮ ತಲೆ ತಗ್ಗಿಸಿ ಚೀರಿದಳು.
"
"My grandmother told me the story.
","ಆಜ್ಜಿ ಕತೆ ಹೇಳ್ತಾ ಇದ್ರು.
"
"All through her life a woman plays the different roles of being a daughter, sister, wife, mother, mother-in-law, grandmother … etc., with aplomb.
","ಮಹಿಳೆ ತಾಯಿಯಾಗಿ, ಮಗಳಾಗಿ, ಸಹೋದರಿಯಾಗಿ, ಗೆಳತಿಯಾಗಿ, ಹೆಂಡತಿಯಾಗಿ, ಅತ್ತೇ, ಸೊಸೆಯಾಗಿ ವಿವಿಧ ಪಾತ್ರಗಳನ್ನು ನಿರ್ವಹಿಸುತ್ತಿದ್ದಾಳೆ.
"
"And finally, these are childhood memories of Russian folk tales told by our caring grandmothers.
","ಮತ್ತು ಅಂತಿಮವಾಗಿ, ಇದು ನಮ್ಮ grandmothers ಕಾಳಜಿಯುಳ್ಳ ಹೇಳಿದ್ದು ರಶಿಯನ್ ಜನಪದ ಕಥೆಗಳ ಬಾಲ್ಯದ ನೆನಪುಗಳು ಆಗಿದೆ.
"
"His mother, grandmother and grandfather were actors, and his uncle was a director.
","ಆತನ ತಂದೆಯು ಓರ್ವ ನಟ, ನಿರ್ದೇಶಕ, ನಿರ್ಮಾಪಕ ಮತ್ತು ಲೇಖಕರಾಗಿದ್ದರೆ ಆತನ ತಾಯಿಯು ಓರ್ವ ನೃತ್ಯಗಾತಿಯಾಗಿದ್ದರು.
"
"Our mothers and grandmothers knew this very well.
","ನಮ್ಮ ತಾಯಂದಿರು ಮತ್ತು ಅಮ್ಮಂದಿರು ಇದನ್ನು ಚೆನ್ನಾಗಿ ತಿಳಿದಿದ್ದರು.
"
"The children were looked after by their grandmother.
","ಅವರ ಅತ್ತೆಯವರು ಮಗುವಿನ ಲಾಲನೆ ಪಾಲನೆ ನೋಡಿಕೊಂಡರು.
"
"As did my brother, my aunt, my grandmother, and my uncle.
","ಅಂತೆಯೇ ಅಜ್ಜಂದಿರು, ಮಾವಂದಿರು, ಸೋದರ ಮಾವಂದಿರು, ಮೊಮ್ಮಕ್ಕಳು, ಮೈದುನಂದಿರು ಮತ್ತು ನೆಂಟರಿಷ್ಟರು.
"
"Search for grandmother
","ತಾಯಿಗಾಗಿ ಹುಡುಕಾಟ
"
"The girl’s mother had died and she lived with her grandmother, police said.
","ಬಾಲಕಿಯ ತಂದೆ ತೀರಿಕೊಂಡಿದ್ದು, ತಾಯಿ ಜತೆ ವಾಸವಿದ್ದಳು.
"
"But her grandmother didn't listen to her.
","ಆದ್ರೆ, ಸೊಸೆಯ ಮಾತನ್ನು ಅತ್ತೆ ಕೇಳಲಿಲ್ಲ.
"
"I have learnt all about cooking traditional meals from my grandmothers.
","ಸಾಂಪ್ರದಾಯಿಕ ಅಡುಗೆಗಳನ್ನು ತಯಾರಿಸುವ ವಿಧಾನವನ್ನು ತಾಯಿ, ಅಕ್ಕನಿಂದ ಕಲಿಯುತ್ತೇನೆ.
"
"When he was a child, he lost his mother and was raised by his grandmother.
","ಅವಳೋ ಮಗುವಾಗಿದ್ದಾಗಲೇ ತಾಯನ್ನು ಕಳೆದುಕೊಂಡವಳು ಮತ್ತು ತಂದೆಯ ಸುಪರ್ದಿನಲ್ಲಿ ಬೆಳೆಯುತ್ತಾ ಬರುವಳು.
"
"Eggs, flowers and gifts were also presented to mothers and grandmothers.
","ಅಲ್ಲದೆ, ತಾಯಿ ಮತ್ತು grandmothers ಮೊಟ್ಟೆಗಳು, ಹೂಗಳು ಮತ್ತು ಉಡುಗೊರೆಗಳನ್ನು ನೀಡಲಾಯಿತು.
"
"I spent most of my childhood with my paternal grandmother.
","ತಾಯಿಯ ತಂದೆಯ (ಅಜ್ಜ) ಜತೆ ಬಾಲ್ಯವನ್ನು ಹೆಚ್ಚಾಗಿ ಕಳೆದೆ.
"
"She’s my grandmother’s sister’s daughter-in-law.
","ಅವಳು ಅಜ್ಜನ ಸೋದರ ಮಾವನ ಮಗಳು.
"
"Congress leader Rahul Gandhi remembered Indira Gandhi on her birth anniversary as an able prime minister and a beloved grandmother.
","ಮಾಜಿ ಪ್ರಧಾನಿ ಇಂದಿರಾ ಗಾಂಧಿ ಜನ್ಮದಿನದ ಸಂದರ್ಭ ಕಾಂಗ್ರೆಸ್ ನಾಯಕ ರಾಹುಲ್ ಗಾಂಧಿ ಗೌರವ ಸಲ್ಲಿಕೆ ಮಾಡಿದ್ದಾರೆ.
"
"When the girl went home and informed her grandmother about the matter, she lodged the complaint with the police station.
","ಮನೆಗೆ ಮರಳಿದ ಚಿಕ್ಕಮ್ಮನಿಗೆ ಬಾಲಕಿ ನಡೆದ ವಿಷಯವನ್ನು ತಿಳಿಸಿದ್ದು ಇಬ್ಬರು ಸೇರಿ ಪೊಲೀಸ್ ಠಾಣೆಯಲ್ಲಿ ದೂರು ಸಲ್ಲಿಸಿದ್ದಾರೆ.
"
"When the girl went home and informed her grandmother about the matter, she lodged the complaint with the police station.
","ತನ್ನ ಮನೆಗೆ ಬಂದ ಬಾಲಕಿ ಈ ವಿಚಾರವನ್ನು ತನ್ನ ತಾಯಿಗೆ ತಿಳಿಸಿದಾಗ ಆಕೆ ಸ್ಥಳೀಯ ಠಾಣೆಗೆ ದೂರು ನೀಡಿದ್ದಾಳೆ.
"
"Both his mother and his grandmother were having serious health problems.
","ತಾಯಿ ಹಾಗೂ ಹೆಂಡತಿ ತೀವ್ರ ಅನಾರೋಗ್ಯದಿಂದ ಬಳಲುತ್ತಿದ್ದರು.
"
"The incident came to light when the grandmother saw blood flowing out of the room.
","ಜೋಡಿ ಇದ್ದ ರೂಮ್‍ನಿಂದ ರಕ್ತ ಹೊರ ಬರುತ್ತಿದ್ದದನ್ನು ಗಮನಿಸಿದಾಗ ಘಟನೆ ಬೆಳಕಿಗೆ ಬಂದಿದೆ.
"
"Arjun Kapoor shared on Instagram an adorable video with his grandmother Nirmal Kapoor.
","ಅರ್ಜುನ್ ಕಪೂರ್ ಇನ್ಸ್ಟ್ರಾಗ್ರಾಮ್ ನಲ್ಲಿ ಸುಂದರ ಫೋಟೋವನ್ನು ಹಂಚಿಕೊಂಡಿದ್ದಾರೆ.
"
"He calls his grandmother ‘mumma’.
","ತಂಗಕ್ಕನ ತಾಯಿಯನ್ನು “ಅಣ್ಣನಮ್ಮ' ಎಂದೇ ಕರೆಯುವುದು.
"
"Allegedly she and her grandmother Etterlin made a DNA test, the result of which turned out to be positive.
","ಆಕೆ ಮತ್ತು ಅವಳ ಅಜ್ಜ ಎಟರ್ಲಿನ್ ಅವರು ಡಿಎನ್ಎ ಪರೀಕ್ಷೆಯನ್ನು ಮಾಡಿದ್ದಾರೆಂದು ಆರೋಪಿಸಿ, ಅದರ ಪರಿಣಾಮವಾಗಿ ಧನಾತ್ಮಕವಾಗಿ ಹೊರಹೊಮ್ಮಿತು.
"
"He is survived by his wife, one son, one brother, father and grandmother.
","ಅವರಿಗೆ ತಂದೆ–ತಾಯಿ, ಒಬ್ಬ ಸಹೋದರ, ಸಹೋದರಿ, ಪತ್ನಿ ಹಾಗೂ ಪುತ್ರ ಇದ್ದಾರೆ.
"
"A family of two little girls, a mom, and the girls grandmother.
","ಅಪ್ಪ-ಅಮ್ಮ ಜೊತೆಗೆ ಇಬ್ಬರು ಹೆಣ್ಣು ಮಕ್ಕಳ ಪುಟ್ಟ ಸಂಸಾರ ಅದು.
"
"Among the protesters were mothers, grandmothers, teachers and students.
","ಕಾರ್ಯಕ್ರಮದಲ್ಲಿ ಹೆತ್ತವರು, ಶಿಕ್ಷಕ,ಶಿಕ್ಷಕೇತರ ವೃಂದ, ವಿದ್ಯಾರ್ಥಿಗಳು ಉಪಸ್ಥಿತರಿದ್ದರು.
"
"His children were not well taken care of by their grandmother.
","ಅವರನ್ನು ಮಗ-ಸೊಸೆ ಸರಿಯಾಗಿ ಆರೈಕೆ ಮಾಡುತ್ತಿರಲಿಲ್ಲ.
"
"At the age of 8, his grandmother passed away.
","ಈಕೆಗೆ 8 ವರ್ಷವಿದ್ದಾಗ ತಂದೆ ತೀರಿ­ಕೊಂಡರು.
"
"""I have come here as a young boy with my grandmother.
","‘‘ನಾನು ಚಿಕ್ಕವನಿದ್ದಾಗ ನಮ್ಮವ್ವನ ಜತೆಯಲ್ಲಿ ಇಲ್ಲಿಗೆ ಬರುತ್ತಿದ್ದೆ.
"
"A woman is first a daughter, a sister, a mother and a grandmother.
","ಹೆಣ್ಣು ಒಬ್ಬ ತಂಗಿ, ಅಕ್ಕ, ಮಡದಿ, ತಾಯಿ ಇನ್ನು ಏನೇನೋ.
"
"His father, his uncle, his grandfather, and his grandmother were all lawyers.
","ಅವನ ಅಪ್ಪ, ತಾತ, ದೊಡ್ಡಪ್ಪ, ಚಿಕ್ಕಪ್ಪ ಎಲ್ಲರೂ ನಟರೇ.
"
"At that time, her grandmother passed away.
","ಈ ವೇಳೆಗೆ ಅಕ್ಕ ಕೊನೆಯುಸಿರೆಳೆದರು.
"
"Allred is the mother of four children and grandmother to three.
","ಅಲ್ಲವರು ಮೂರು ಮಕ್ಕಳ ತಾಯಿ, ನಾಲ್ಕನೇ ಮಗುವಿನ ಗರ್ಭಿಣಿ.
"
"But I do remember my mother and grandmother.
","ಆದರೂ ನನಗೆ ಅಮ್ಮ ನೆನಪಾಗುತ್ತಿದ್ದಾರೆ.
"
"Rahul Gandhi's father and grandmother, former Prime Ministers Rajiv Gandhi and Indira Gandhi, were assassinated.
","ಮಾಜಿ ಪ್ರಧಾನಿ ಇಂದಿರಾಗಾಂಧಿ ಮತ್ತು ತಂದೆ ರಾಜೀವ್ ಗಾಂಧಿಯವರ ಹತ್ಯೆಯ ನೋವನ್ನು ಮನಸ್ಸಿನಲ್ಲಿ ತುಂಬಿಕೊಂಡು ಬೆಳೆದಿದ್ದೇನೆ.
"
"A wonderful wife, mother, daughter, grandmother, sister and friend to all.
","ಎಲ್ಲರಿಗೆ ತಾಯಿ, ತಂಗಿ, ಹೆಂಡತಿ, ಮಕ್ಕಳು, ಒಳ್ಳೆಯ ಗೆಳೆಯರು ಇದ್ದಾರೆ.
"
"According to the police complaint, the accused had allegedly raped the victim and threatened to kill her grandmother if she revealed it to anyone.
","ಪೊಲೀಸ್ ಮೂಲಗಳ ಪ್ರಕಾರ ಆರೋಪಿ ಬಾಲಕಿಗೆ ಹಣ್ಣುಗಳನ್ನು ಕೊಡಿಸುವ ಆಮಿಷವೊಡ್ಡಿ ಅತ್ಯಾಚಾರವೆಸಗಿದ್ದಲ್ಲದೇ ಯಾರಿಗಾದರೂ ತಿಳಿಸಿದಲ್ಲಿ ಹತ್ಯೆಗೈಯುತ್ತೇನೆ ಎಂದು ಬಾಲಕಿಗೆ ಬೆದರಿಕೆಯೊಡ್ಡಿದ್ದಾನೆ.
"
"His grandmother, Indira Gandhi, was the first female prime minister of the country, and his father was India's youngest prime minister.
","ಇಂಥಾ ಸಾರ್ವಭೌಮ ದೇಶದ ಪ್ರಪ್ರಥಮ ಮಹಿಳಾ ಪ್ರಧಾನ ಮಂತ್ರಿ, ಅಷ್ಟೇ ಅಲ್ಲದೇ ತನ್ನ ತಂದೆಯ ನಂತರ ಅತಿಹೆಚ್ಚು ಕಾಲ ಪ್ರಧಾನಿಯಾಗಿ ಸೇವೆ ಸಲ್ಲಿಸಿದ ಧೀಮಂತ ನಾಯಕಿ ಇಂದಿರಾ ಗಾಂಧಿ.
"
"As a kid, I spent a lot of time at my grandmother’s house.
","ಚಿಕ್ಕ ವಯಸ್ಸಿನಿಂದ ನಾನು ಅಮ್ಮನ ಮನೆಗಿಂತ ಜಾಸ್ತಿ ಅಕ್ಕನ ಮನೆಯಲ್ಲಿಯೇ ಸಮಯ ಕಳೆದಿದ್ದೇನೆ.
"
"His younger sister went to their maternal grandmother’s house.
","ತಂಗಿ ದೊಡ್ಡಮ್ಮನ ಮನೆಗೆ ಹೋಗಿದ್ದಳು.
"
"Being a mom is a very different role than being a grandmother.
","ತಾಯಿಯಾಗುವುದು ತಂದೆಯಾಗುವುದಕ್ಕಿಂತ ಬಹಳ ಭಿನ್ನ ರೀತಿಯದು.
"
"Both her mother and grandmother were witches.
","ಅವಳ ಅತ್ತೆ , ಮಾವ ಇಬ್ಬರೂ ತಿಳುವಳಿಕೆಯುಳ್ಳವರಾಗಿದ್ದರು.
"
"A family that consisted of a great-grandmother, a grandmother, a mother, and two children.
","ತಾಯಿ, ಇಬ್ಬರು ಅಣ್ಣಂದಿರು, ಇಬ್ಬರು ಅಕ್ಕಂದಿರನ್ನು ಹೊಂದಿರುವ ದೊಡ್ಡ ಕುಟುಂಬ.
"
"Agrima lives with her parents, grandmother and younger brother.
","ಆಕೆ ತನ್ನ ತಾಯಿ, ಹಿರಿಯ ಸಹೋದರ ಮತ್ತು ಅಜ್ಜನ ಜತೆ ಜತೆ ವಾಸವಾಗಿದ್ದಾಳೆ.
"
"When he was a child, he lost his mother and was raised by his grandmother.
","ಚಿಕ್ಕಂದಿನಲ್ಲಿಯೇ ತಂದ್‌ ತಾಯಿಯರನ್ನು ಕಳೆದುಕೊಂಡು ಚಿಕ್ಕಮ್ಮನ ಆಶ್ರಯದಲ್ಲಿ ಬೆಳೆದರು.
"
"“Both my grandmother and my mother were drug addicts.
","“ನನ್ನ ಅಪ್ಪ ಅಮ್ಮ ಇಬ್ಬರೂ ದಾದಿಯರು.
"
"Both her mother and grandmother died young.
","ಚಿಕ್ಕವನಿರುವಾಗಲೇ ತಂದೆ, ತಾಯಿ ಇಬ್ಬರೂ ತೀರಿ ಹೋದರು.
"
"Does Rahul Gandhi know his grandmother’s history ?
","ಆದ್ರೆ, ರಾಹುಲ್‌ ಗಾಂಧಿಗೆ ತಮ್ಮ ತಾತ ನೆಹರು ಕಾಲದಲ್ಲಾದ ಬೆಳವಣಿಗೆಗಳು ಗೊತ್ತಿಲ್ಲವೇ?
"
"Both my mother and my grandmother have died.
","ಅಪ್ಪ-ಅಮ್ಮ ಇಬ್ಬರೂ ಸತ್ತು ಹೋಗಿದಾರೆ.
"
"Abhishek was accompanied by his wife Aishwarya Ray Bachchan and maternal grandmother Indira Bhaduri.
","ಐಶ್ವರ್ಯ ರೈ ಬಚ್ಚನ್ ಜೊತೆ ಪತಿ ಅಭಿಷೇಕ್ ಬಚ್ಚನ್ ಹಾಗೂ ಮಗಳು ಆರಾದ್ಯ ಬಚ್ಚನ್ ಕೂಡ ಉಪಸ್ಥಿತರಿದ್ದರು.
"
"Her grandmother’s oxygen level had fallen to 40.
","ಆಕೆಯ ಆಮ್ಲಜನಕ ಮಟ್ಟ 40ಕ್ಕೆ ಇಳಿದಿತ್ತು.
"
"You are likely to receive good news from your grandmother.
","ಅತ್ತೆ ಕಡೆಯಿಂದ ಒಳ್ಳೆಯ ಸುದ್ದಿ ಪಡೆಯುವ ಸಾಧ್ಯತೆ ಇದೆ.
"
"A grandmother, a mother, and two children.
","ಅಪ್ಪ, ಅಮ್ಮ ಮತ್ತು ಇಬ್ಬರು ಮಕ್ಕಳು.
"
"And perhaps all grandmothers are like that.
","ಬಹುಶಃ ಎಲ್ಲಾ ತಾಯಂದಿರೂ ಅಷ್ಟೇ.
"
"A few more months after, my grandmother passed away.
","ಕೆಲ ತಿಂಗಳುಗಳು ಕಳೆದ ನಂತರ ಕನಕಳ ತಾಯಿ ತೀರಿಕೊಂಡರು.
"
"“My grandmother beats me every day and does not give me food to eat.
","‘ಪ್ರತಿ ನಿತ್ಯವೂ ನನಗೆ ಕಿರುಕುಳ ನಿಡುತ್ತಿದ್ದ ಅತ್ತೆ ಸರಿಯಾಗಿ ಊಟ ತಿಂಡಿಯನ್ನು ಸಹ ನೀಡದೆ ಹಿಂಸೆ ಮಾಡುತ್ತಾರೆ.
"
"Her grandmother was with her.
","ಮುಗಳಿಯವರ ಜತೆಗೆ ಅವರ ಅತ್ತೆ ಇರುತ್ತಿದ್ದರು.
"
"A mother, daughter, grandmother or sister.
","ಅಮ್ಮನೋ ಅಕ್ಕನೋ ಸೋದರನೋ ಅಪ್ಪನೋ
"
"«I, my mother, my grandmother and my sister, we ran away into the bush.
","""""ನಾನು, ನಮ್ಮವ್ವ, ಅಪ್ಪಾರು, ಚಿಕ್ಕಕ್ಕ, ಮಾವಾರು ಹೋಗಿದ್ವಿ.
"
"The girl’s mother had died and she lived with her grandmother, police said.
","ಬಾಲಕಿ ತಂದೆ ತೀರಿಕೊಂಡಿದ್ದು ಆಕೆ ತನ್ನ ತಾಯಿಯೊಂದಿಗೆ ವಾಸಿಸುತ್ತಿದ್ದಾಳೆ.
"
"His grandmother, then prime minister Indira Gandhi, and his father, former prime minister Rajiv Gandhi, were both assassinated.
","ಪ್ರಿಯಾಂಕಾ ಗಾಂಧಿ ವಾದ್ರಾ ಅವರ ತಂದೆ ರಾಜೀವ್ ಗಾಂಧಿ ಮತ್ತು ಮಾಜಿ ಪ್ರಧಾನಿ ಇಂದಿರಾ ಗಾಂಧಿ ಎಸ್‌ಪಿಜಿ ಭಧ್ರತೆಯಲ್ಲಿರುವಾಗಲೇ ಗುಂಡಿಗೆ ಬಲಿಯಾಗಿದ್ದರು.
"
"Her parents are Saif Ali Khan and Amrita Singh, her grandmother is Sharmila Tagore and her aunt is Soha Ali Khan.
","ತಂದೆ ಸೈಫ್‌ ಅಲಿ ಖಾನ್‌ ಹಾಗೂ ತಾಯಿ ಅಮೃತಾ ಸಿಂಗ್‌ ಬೇರೆಯಾದ ನಂತರ ಸಾರಾ ತಾಯಿ ಜೊತೆಯಲ್ಲಿರುವುದು ಎಲ್ಲರಿಗೂ ಗೊತ್ತುಂಟು.
"
"She’s the grandmother of the house.
","ಅತ್ತೆ ಈ ಮನೆಯ ಗೃಹದೇವತೆ.
"
"But grandmother didn't know her.
","ಆದ್ರೆ ಇದು ಅತ್ತೆಗೇ ಗೊತ್ತಿರಲಿಲ್ಲ.
"
"A grandmother of four children.
","ಅವಳು ನಾಲ್ಕು ಮಕ್ಕಳಿಗೆ ಒಂದು ಮಲತಾಯಿ.
"
"“My parents, my grandmother and my relatives are extremely pivotal in my life.
","'ನನ್ನ ಜೀವನದಲ್ಲಿ ತಾಯಿ, ಅತ್ತೆ ಮತ್ತು ಪತ್ನಿಯ ಸಹಕಾರ ತುಂಬಾಯಿದೆ.
"
"All the family came to my grandmother's house.
","ತಾಯಿಯ ಕೂಗಾಟಕ್ಕೆ ಮನೆಯವರೆಲ್ಲ ಬಂದು ಸೇರಿದರು.
"
"“Both my mother and my grandmother are educators.
","‘ನನ್ನ ತಂದೆ ಹಾಗೂ ತಾಯಿ ಇಬ್ಬರೂ ಶಿಕ್ಷಕರು.
"
"Actually, she is not my grandmother.
","ನಿಜಕ್ಕೂ ಅವಳು ನಮ್ಮ ಮೊಮ್ಮಗಳಲ್ಲ.
"
"A homemaker, wife, mother and grandmother.
","ಗೃಹಿಣಿ, ಪತ್ನಿ ಮತ್ತು ತಾಯಿ.
"
